date,lon,lat,NDVI,EVI,TCG,valid,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2022-01-01,19.17832971074559,47.350515862696206,0.21689709354176895,0.09735414153176242,0.016696094789851457,1.0,0.0402819739210983,0.07492499908856057,0.11302784464198119,0.1222289155513176,0.13152838160599634,0.14468948459932218,0.17318599967709686,0.1618495154166554,0.17960561193174043,0.21987749626580227,0.20029862770259124
2022-01-01,19.174295495776995,47.357025078135905,0.3351482329474293,0.1242699408182141,0.03498303171116475,1.0,0.018748638421828535,0.049511729502322036,0.07530443794781884,0.10146590644408585,0.12016791376947379,0.12966357501110862,0.14722513477540677,0.15027223774266618,0.14196789153039016,0.19350579046267202,0.16430782114613837
2022-01-01,19.14255284218001,47.58386498614184,0.24952630579097193,0.08347440263229768,0.0157653466494259,1.0,0.018437341196862665,0.03991052593705714,0.07190026694633456,0.08708946832629282,0.09587397282577031,0.10825058583637495,0.11897247969733393,0.12805480513874953,0.1283176965773136,0.2173975370370264,0.1922981138362413
2022-01-01,19.16989192374399,47.35912887474197,0.3751049103726731,0.1587750968873692,0.04772925693964315,1.0,0.02110272601651829,0.055655710784119516,0.07352524033853397,0.10699541514040609,0.1395881943849486,0.15074679490424792,0.1663985073815229,0.16747545705184197,0.13664868754086662,0.19142229293958168,0.16301173035808378
2022-01-01,18.97720432058095,47.58209334296834,0.3159205949706961,0.10036140842959144,0.02858266621799845,1.0,0.008460722103440609,0.03201131695426788,0.06371230733746923,0.0792974962520376,0.09015557476610718,0.10490067203424899,0.12159433445263541,0.12405994043455906,0.09370738205691044,0.19834398710093265,0.1692496784432383
2022-01-01,19.18118830666007,47.35168079036908,0.2500448694191699,0.10159088740223224,0.01924131640584098,1.0,0.026085617741757064,0.05698826587556403,0.09292521099110258,0.10890090040620996,0.1223069062585221,0.1336350591400441,0.15457648383841407,0.15345137466780656,0.1380061483825382,0.24734634897199156,0.2315308535949738
2022-01-01,19.308389957825064,47.432680683662134,0.15686153773541398,0.08022529699191897,0.0011245370586748739,0.9943696308335267,0.05987212173588829,0.09865745945913847,0.1384408701455991,0.1636403073442765,0.16814403120616014,0.1751853074521234,0.18889952330245255,0.19415826703345435,0.1804676951811544,0.2551742668235719,0.22666054484543616
2022-01-01,19.09564266424305,47.42825772763151,0.4764067309480091,0.1629967291478862,0.048230527642217025,1.0,0.016896281775659553,0.036467965409918,0.04648612301959442,0.08208146874224931,0.1181629235267533,0.12720258386030575,0.12972104723051528,0.13472793109598138,0.14431321193629532,0.14006143605180574,0.11495316105239169
2022-01-01,19.170921903822144,47.35914654373674,0.3724381153091959,0.1275567329802741,0.03561302878531863,1.0,0.015307027436683647,0.040318765893773846,0.06259442129235354,0.0868739210081663,0.10570604705890438,0.11550428280370044,0.13344693932555235,0.13819872852500759,0.13686280093959347,0.18739039476438787,0.1587777459718949
2022-01-01,19.162480549765146,47.35070734290349,0.2906745029668382,0.1235812134351106,0.033495862473967686,1.0,0.029865292973356803,0.054973733610962285,0.08946904713420199,0.11030298063407412,0.12389372242371197,0.1393086784902991,0.1624328588115978,0.1653071516789634,0.15196096004486062,0.22991149236115538,0.1829983777841136
2022-01-01,19.271937797628194,47.42072536030008,0.21174299382234485,0.07272029560437894,0.017007734069953515,1.0,0.0148211159829228,0.04178488069271648,0.08316038208510165,0.09505909681251974,0.10346308647140219,0.11226628132107865,0.1275372346981665,0.1281101934166386,0.12893729452782138,0.19450974536582705,0.17835914926040866
2022-01-01,19.231351399895445,47.415852185897464,0.2444775158954545,0.08425202997757975,0.019233315074344955,1.0,0.020207459065952275,0.047639133735145875,0.07696609942331513,0.09396444942281264,0.10453151044715148,0.11290059867984206,0.12506844061754446,0.1262264146453604,0.13675848852755687,0.16970892796817436,0.14675178496143088
2022-01-01,19.04120640085302,47.43201107439286,0.5170043860246596,0.1341554400821683,0.042432857451285916,0.9306778357124542,0.0037967854608820977,0.013791467632246755,0.03233544291325547,0.04978389972150269,0.06846922289164056,0.08317974899484226,0.10014297401164378,0.10450791746848734,0.10900604381574303,0.13947634820666904,0.10953951119270766
2022-01-01,19.229699582416472,47.41628464220707,0.24601053626605182,0.09314306707067686,0.02083038235227606,1.0,0.025788456130475246,0.05391617445054725,0.08440150591507745,0.10011733276321706,0.11051581194534743,0.12126371769761177,0.13832313642798663,0.13849971284239684,0.14301970058740432,0.2016348631768418,0.16633663694015327
2022-01-01,19.169200265309996,47.358221249452214,0.37174200993614515,0.0731108806115507,0.016572096993629208,1.0,0.0031011956072548603,0.011792212474041684,0.03352593260165434,0.04355645151403934,0.049952457393787335,0.05897888496497236,0.07021047957555025,0.07453583175366091,0.0837056075022941,0.1408662204310653,0.13408219557971307
2022-01-01,19.175252557511868,47.35568744551546,0.20084036185874907,0.10193162542724013,0.00972042947278776,1.0,0.052769879861658466,0.08883285897789024,0.1313078287205165,0.1519734915742865,0.1631296363124838,0.17534656394069476,0.19580655171754746,0.19582900235052805,0.17657921150978137,0.2769145942104807,0.26291379527153214
2022-01-01,19.273347113136573,47.42312213666671,0.2775156334209013,0.06941522654766297,0.016590566917822173,1.0,0.004949876145276359,0.01994846075752193,0.05054015838275655,0.05921974724946783,0.06598067801207835,0.07406224717924144,0.08837983705282167,0.08962788510917703,0.09709063956462685,0.1606638345323996,0.15098836690743622
